device,tau,precision,recall,f1,tp,fp,fn,tn
Washing Machine (24),0.965,0.9365942028985508,0.8852739726027398,0.9102112676056339,517,35,67,13273
Dish Washer (26),0.885,0.7413249211356467,0.8103448275862069,0.7742998352553542,235,82,55,13520
Refrigerator (35),0.86,0.913963963963964,0.8806423611111112,0.8969938107869142,2029,191,275,11397
