device,tau,precision,recall,f1,tp,fp,fn,tn
Washing Machine (24),0.96,0.8946441547339175,0.7478062653632882,0.8146614302562285,104651,12324,35293,3189612
Dish Washer (26),0.93,0.5839876564375107,0.719378273356986,0.6446509339338771,51096,36399,19932,3234453
Refrigerator (35),0.76,0.7526573708390425,0.846055578507904,0.7966282722155776,466911,153439,84957,2636573
