device,tau,precision,recall,f1,tp,fp,fn,tn
Washing Machine (24),0.9500000000000001,0.8865546218487395,0.9461883408071748,0.9154013015184381,211,27,12,6636
Dish Washer (26),0.905,0.6638655462184874,0.6638655462184874,0.6638655462184874,79,40,40,6727
Refrigerator (35),0.865,0.9689119170984456,0.8208955223880597,0.8887832699619772,935,30,204,5717
