device,tau,precision,recall,f1,tp,fp,fn,tn
Washing Machine (24),0.9550000000000001,0.8794415353313731,0.8427766368392744,0.8607188002309649,137885,18902,25723,4795090
Dish Washer (26),0.9,0.5006366530241019,0.7703988803358992,0.606890848952591,66054,65886,19686,4825974
Refrigerator (35),0.8250000000000001,0.8765593561368209,0.8142674395459819,0.8442659465227721,670901,94479,153031,4059189
