device,tau,precision,recall,f1,tp,fp,fn,tn
Washing Machine (24),0.9500000000000001,0.8771186440677966,0.9282511210762332,0.9019607843137256,207,29,16,6634
Dish Washer (26),0.93,0.7681159420289855,0.44537815126050423,0.5638297872340425,53,16,66,6751
Refrigerator (35),0.93,0.970828471411902,0.7304653204565408,0.8336673346693386,832,25,307,5722
