device,tau,precision,recall,f1,tp,fp,fn,tn
Washing Machine (24),0.965,0.781021897810219,0.9596412556053812,0.8611670020120724,214,60,9,6603
Dish Washer (26),0.85,0.531578947368421,0.8487394957983193,0.6537216828478964,101,89,18,6678
Refrigerator (35),0.8,0.9321880650994575,0.9051799824407375,0.9184855233853007,1031,75,108,5672
