device,tau,precision,recall,f1,tp,fp,fn,tn
spuelmaschine,0.835,0.3448715485775162,0.3897331649167127,0.36593252846831653,19747,37512,30921,945740
kuehlschrank,0.465,0.3137311413869164,0.6487911969426507,0.42294291702746417,216621,473846,117263,226190
backofen,0.9500000000000001,0.42594264287202277,0.3682756964457253,0.3950156164471778,6134,8267,10522,1008997
