device,tau,precision,recall,f1,tp,fp,fn,tn
spuelmaschine,0.895,0.3915099402848475,0.3419317912686508,0.36504520924254436,69300,107707,133372,3819541
kuehlschrank,0.465,0.3146878588963246,0.8102005486935583,0.4533076778544915,1082052,2356441,253484,437943
backofen,0.97,0.5880997993066959,0.38705271373679156,0.4668513288435079,25787,18061,40837,4045235
