device,tau,precision,recall,f1,tp,fp,fn,tn
Washing Machine (24),0.97,0.8763250883392226,0.8493150684931506,0.8626086956521739,496,70,88,13243
Dish Washer (26),0.935,0.49333333333333335,0.6379310344827587,0.556390977443609,185,190,105,13417
Refrigerator (35),0.93,0.9345,0.8111979166666666,0.8684944237918215,1869,131,435,11462
