device,tau,precision,recall,f1,tp,fp,fn,tn
Washing Machine (24),0.92,0.860655737704918,0.9417040358744395,0.8993576017130621,210,34,13,6599
Dish Washer (26),0.77,0.36764705882352944,0.8403361344537815,0.5115089514066496,100,172,19,6565
Refrigerator (35),0.795,0.8874045801526718,0.8165057067603161,0.850480109739369,930,118,209,5599
