device,tau,precision,recall,f1,tp,fp,fn,tn
Washing Machine (24),0.9500000000000001,0.8786021407007593,0.8805192900102684,0.8795596706688279,288120,39810,39096,9588174
Dish Washer (26),0.915,0.5735688059415381,0.6804991835782599,0.6224751886357149,116692,86757,54788,9696963
Refrigerator (35),0.77,0.8728158211731699,0.8684570495034604,0.8706309798778905,1431047,208528,216757,8098868
