device,tau,precision,recall,f1,tp,fp,fn,tn
Washing Machine (24),0.9550000000000001,0.900497512437811,0.9297945205479452,0.9149115417017691,543,60,41,13253
Dish Washer (26),0.87,0.8013468013468014,0.8206896551724138,0.8109028960817718,238,59,52,13548
Refrigerator (35),0.925,0.9476025704399407,0.83203125,0.8860642477467067,1917,106,387,11487
