device,tau,precision,recall,f1,tp,fp,fn,tn
Washing Machine (24),0.9450000000000001,0.8295088641326473,0.82193413525011,0.825704128060125,44825,9213,9711,1595491
Dish Washer (26),0.87,0.2681140735392708,0.5457312806158152,0.3595725796226067,15597,42576,12983,1588084
Refrigerator (35),0.72,0.8188775604202055,0.8090605932635319,0.8139394771780433,222236,49155,52448,1335401
