device,tau,precision,recall,f1,tp,fp,fn,tn
spuelmaschine,0.865,0.3517858468849781,0.378273714468221,0.3645492670539803,18950,34918,31146,948906
kuehlschrank,0.47500000000000003,0.3136191596959384,0.5907816375684517,0.40973082133151606,197210,431610,136602,268498
backofen,0.9450000000000001,0.40917667238421956,0.28720202263424033,0.3375070741369553,4771,6889,11841,1010419
