device,tau,precision,recall,f1,tp,fp,fn,tn
Washing Machine (24),0.9550000000000001,0.8960866075448797,0.828020984081042,0.8607102227320165,45773,5308,9507,1598652
Dish Washer (26),0.78,0.33591174395484574,0.6366951954872593,0.4397940931955023,26186,51769,14942,1566343
Refrigerator (35),0.74,0.8310792614898208,0.8646803679552865,0.8475469154318467,237628,48299,37188,1336125
