device,tau,precision,recall,f1,tp,fp,fn,tn
Washing Machine (24),0.9450000000000001,0.8233625101995401,0.8141227812820889,0.818716577540107,44399,9525,10137,1595179
Dish Washer (26),0.865,0.36559101696716373,0.7222533240027992,0.4854542461372028,20642,35820,7938,1594840
Refrigerator (35),0.72,0.8407621018672105,0.8045463150383714,0.8222556256697225,220996,41856,53688,1342700
