device,tau,precision,recall,f1,tp,fp,fn,tn
Washing Machine (24),0.9450000000000001,0.8313725490196079,0.9506726457399103,0.8870292887029289,212,43,11,6620
Dish Washer (26),0.785,0.6047904191616766,0.8487394957983193,0.7062937062937064,101,66,18,6701
Refrigerator (35),0.77,0.9322964318389753,0.8946444249341527,0.9130824372759857,1019,74,120,5673
