device,tau,precision,recall,f1,tp,fp,fn,tn
Washing Machine (24),0.96,0.8629057158944367,0.8711493325509755,0.8670079293385525,47509,7548,7027,1597156
Dish Washer (26),0.915,0.5951377467105263,0.8102869139258223,0.6862442956202216,23158,15754,5422,1614906
Refrigerator (35),0.775,0.8779382000716055,0.8748634794891584,0.8763981429816595,240311,33411,34373,1351145
