device,tau,precision,recall,f1,tp,fp,fn,tn
spuelmaschine,0.915,0.5371476511572609,0.4922921436277993,0.5137426588177645,598643,515842,617389,23000606
kuehlschrank,0.52,0.4555712375108017,0.568900251847864,0.5059674074810716,4558695,5447852,3454476,11271457
backofen,0.995,0.8485748171885923,0.5405359430035223,0.6604011748561229,216076,38558,183668,24294178
