device,tau,precision,recall,f1,tp,fp,fn,tn
Washing Machine (24),0.96,0.8670655567117586,0.8140264522431803,0.8397093023255814,43329,6643,9899,1599369
Dish Washer (26),0.845,0.4088924249713207,0.8339245283018868,0.548729918307551,22099,31947,4401,1600793
Refrigerator (35),0.805,0.87583818019409,0.789337179991549,0.8303409428377097,216692,30719,57832,1353997
