device,tau,precision,recall,f1,tp,fp,fn,tn
Washing Machine (24),0.975,0.8530612244897959,0.9372197309417041,0.8931623931623932,209,36,14,6627
Dish Washer (26),0.92,0.5952380952380952,0.8403361344537815,0.6968641114982578,100,68,19,6699
Refrigerator (35),0.88,0.9582929194956353,0.8674275680421423,0.9105990783410138,988,43,151,5704
