device,tau,precision,recall,f1,tp,fp,fn,tn
Washing Machine (24),0.93,0.8674698795180723,0.9642857142857143,0.9133192389006343,216,33,8,6629
Dish Washer (26),0.7000000000000001,0.3721973094170404,0.9707602339181286,0.5380875202593193,166,280,5,6435
Refrigerator (35),0.895,0.9728331177231565,0.6602282704126426,0.7866108786610879,752,21,387,5726
