device,tau,precision,recall,f1,tp,fp,fn,tn
spuelmaschine,0.87,0.34726541758325113,0.36141154180153157,0.3541972920696325,9156,17210,16178,474536
kuehlschrank,0.435,0.30926069193913974,0.6824346180110458,0.425635172520721,113927,254458,53015,95680
backofen,0.9450000000000001,0.2797902764537655,0.21145533141210374,0.24086992203528929,1761,4533,6567,504219
