device,tau,precision,recall,f1,tp,fp,fn,tn
Washing Machine (24),0.935,0.7905017638077186,0.8259131582807686,0.807819575841815,45042,11937,9494,1592767
Dish Washer (26),0.905,0.3253042069853399,0.27407277816655,0.29749900301942683,7833,16246,20747,1614414
Refrigerator (35),0.68,0.7466629792281703,0.8157992456786708,0.7797015320058037,224087,76031,50597,1308525
