device,tau,precision,recall,f1,tp,fp,fn,tn
spuelmaschine,0.855,0.33351109581971444,0.382628088734507,0.35638522766962627,19387,38743,31281,944509
kuehlschrank,0.44,0.3100548316447918,0.7072486252710523,0.43111197931880585,236139,525465,97745,174571
backofen,0.9500000000000001,0.40495535355160484,0.3022334293948127,0.34613401175782993,5034,7397,11622,1009867
