device,tau,precision,recall,f1,tp,fp,fn,tn
Washing Machine (24),0.985,0.9679358717434869,0.827054794520548,0.8919667590027701,483,16,101,13297
Dish Washer (26),0.985,0.7116564417177914,0.8,0.7532467532467533,232,94,58,13513
Refrigerator (35),0.91,0.9189686924493554,0.8663194444444444,0.8918677390527256,1996,176,308,11417
