device,tau,precision,recall,f1,tp,fp,fn,tn
Washing Machine (24),0.9500000000000001,0.8583272829472797,0.8062834136360636,0.8314917753828702,36648,6049,8805,1331298
Dish Washer (26),0.8150000000000001,0.40328214591708955,0.7709785804283914,0.5295619437753321,18357,27162,5453,1331828
Refrigerator (35),0.705,0.8413833781576967,0.8347912672451818,0.8380743598737286,191148,36035,37829,1117788
