device,tau,precision,recall,f1,tp,fp,fn,tn
Washing Machine (24),0.975,0.8913043478260869,0.9192825112107623,0.9050772626931567,205,25,18,6638
Dish Washer (26),0.845,0.3311036789297659,0.8319327731092437,0.47368421052631576,99,200,20,6567
Refrigerator (35),0.755,0.90063233965673,0.8753292361720808,0.8878005342831702,997,110,142,5637
