device,tau,precision,recall,f1,tp,fp,fn,tn
Washing Machine (24),0.845,0.42045454545454547,0.6981132075471698,0.524822695035461,37,51,16,3338
Dish Washer (26),0.81,0.35507246376811596,0.7205882352941176,0.4757281553398059,49,89,19,3285
Refrigerator (35),0.8150000000000001,0.8121019108280255,0.8471760797342193,0.8292682926829268,510,118,92,2722
